resume_id,github_username,has_github,resume_skills,github_skills,fusion_skills,ground_truth_skills,precision_resume,precision_github,precision_fusion,recall_resume,recall_github,recall_fusion,f1_resume,f1_github,f1_fusion
47276718.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
47549345.pdf,,no,java|qa,,java|qa,cpp,0.0,,,0.0,,,0.0,,
47919212.pdf,,no,azure|html-css,,azure|html-css,azure|html-css,1.0,,,1.0,,,1.0,,
49127329.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
50328713.pdf,,no,ai|backend|linux|python|r,,ai|backend|linux|python|r,ai|backend|cpp|linux|python,0.8,,,0.8,,,0.8,,
51588273.pdf,,no,backend|csharp|java|javascript|php,,backend|csharp|java|javascript|php,backend|csharp|java|javascript|php,1.0,,,1.0,,,1.0,,
54227873.pdf,,no,html-css|java|linux|python|qa,,html-css|java|linux|python|qa,cpp|html-css|java|linux|python,0.8,,,0.8,,,0.8,,
55595908.pdf,,no,ai|qa,,ai|qa,,0.0,,,0.0,,,0.0,,
55953734.pdf,,no,python|qa,,python|qa,python,0.5,,,1.0,,,0.6667,,
56691064.pdf,,no,java,,java,java,1.0,,,1.0,,,1.0,,
60004873.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
61579998.pdf,,no,backend|cyber-security|java,,backend|cyber-security|java,backend|cpp|java,0.6667,,,0.6667,,,0.6667,,
62071407.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
64468610.pdf,,no,backend|devops|golang|javascript|qa,,backend|devops|golang|javascript|qa,backend|cpp|devops|html-css|javascript,0.6,,,0.6,,,0.6,,
64755882.pdf,,no,linux,,linux,cpp|linux,1.0,,,0.5,,,0.6667,,
74236636.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
77828437.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
81125166.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
82125182.pdf,,no,java,,java,java,1.0,,,1.0,,,1.0,,
82246962.pdf,,no,android|backend|cyber-security|frontend|linux|python|qa|r,,android|backend|cyber-security|frontend|linux|python|qa|r,linux|python,0.25,,,1.0,,,0.4,,
86209934.pdf,,no,qa|r,,qa|r,,0.0,,,0.0,,,0.0,,
86828820.pdf,,no,qa,,qa,,0.0,,,0.0,,,0.0,,
90280583.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
96029688.pdf,,no,,,,,0.0,,,0.0,,,0.0,,
