rank,course_name,descendants_count,out_degree,graph_depth,importance_score
61,Sorted Sets,12,1,3,45.0
62,Web Security,13,1,7,44.0
63,Workflows,12,1,4,44.0
64,Managing Stakeholders,12,1,4,44.0
65,Building JSON / RESTful APIs,11,1,2,43.0
66,Central Tendency,12,1,5,43.0
67,Cipher,11,1,2,43.0
68,Video Production,10,1,0,42.0
69,Tailwind CSS,12,1,6,42.0
70,Collaboration on GitHub,10,1,0,42.0
71,Concurrency and Multithreading,11,1,3,42.0
72,Basic RDBMS Concepts,9,3,1,42.0
73,Introduction,10,1,0,42.0
74,Networking,11,1,3,42.0
75,Tools,10,1,0,42.0
76,Introduction,10,1,0,42.0
77,Clean Up,13,1,9,42.0
78,Design Principles,10,1,1,41.0
79,Introduction,9,2,0,41.0
80,Styling,10,1,1,41.0
81,Atomicity in Redis,11,1,4,41.0
82,Testing,12,1,8,40.0
83,Workers AI,11,1,5,40.0
84,Roadmapping Tools,11,1,5,40.0
85,Introduction to Angular,9,1,0,39.0
86,Authentication Methods,10,1,3,39.0
87,Dispersion,11,1,6,39.0
88,Basic Machine Learning,9,1,0,39.0
89,Visualization Best Practices,9,1,0,39.0
90,Programming Language,9,1,0,39.0
91,Setting up Kubernetes,9,1,0,39.0
92,MongoDB Basics,9,1,0,39.0
93,RPC / REST,10,1,3,39.0
94,Live Streaming,9,1,1,38.0
95,React,11,1,7,38.0
96,Documentation,9,1,1,38.0
97,Dependency Manager,10,1,4,38.0
98,Core Programming Concepts,9,1,1,38.0
99,Serialization / Deserialization,10,1,4,38.0
100,Architecture,9,1,1,38.0
101,Required Skills,9,1,1,38.0
102,State,12,1,10,38.0
103,Git,7,3,0,37.0
104,Package Managers,9,1,2,37.0
105,Networking,9,1,2,37.0
106,Pipelining,10,1,5,37.0
107,CI / CD,11,1,9,36.0
108,Vectorize,10,1,6,36.0
109,Standard Library + STL,8,1,0,36.0
110,HTML,8,1,0,36.0
111,Introduction,8,1,0,36.0
112,Version Control,8,2,2,36.0
113,Programming Fundamentals,8,1,0,36.0
114,Product Requirements,8,1,0,36.0
115,Project Management Tools,10,1,6,36.0
116,Load & Performance Testing,8,1,0,36.0
117,Components,8,1,1,35.0
118,Authorization Methods,9,1,4,35.0
119,Distribution,10,1,7,35.0
120,Excel,8,1,1,35.0
121,Communication & Storytelling,8,1,1,35.0
122,Operating System,8,1,1,35.0
123,Running Applications,8,1,1,35.0
124,Data Model & Data Types,8,1,1,35.0
125,Multithreading,8,3,5,35.0
126,Message Queues,9,1,4,35.0
127,Social Media,8,1,2,34.0
128,Node.js,10,1,8,34.0
129,Working in a Team,8,1,2,34.0
130,Frameworks & Library,9,1,5,34.0
131,Database and ORM,9,1,5,34.0
132,Security,8,1,2,34.0
133,Tooling,8,1,2,34.0
134,Best Practices for State,11,1,11,34.0
135,RDS,7,1,0,33.0
136,Data Collection,7,1,0,33.0
137,What is DevRel?,5,4,0,33.0
138,Working with APIs,8,1,3,33.0
139,Testing,10,1,9,33.0
140,Game Mathematics,6,3,1,33.0
141,Client Side Development,7,1,0,33.0
142,Service Management (systemd),7,1,0,33.0
143,Collections & Methods,7,2,2,33.0
144,Working with Databases,7,1,0,33.0
145,Push Notifications,8,1,3,33.0
146,Headless Component Libraries,7,1,0,33.0
147,CLI Tools,7,1,0,33.0
148,Batch Operations,9,1,6,33.0
149,Lifecycle Hooks,7,1,0,33.0
150,More about Databases,10,1,10,32.0
151,Stream,9,1,7,32.0
152,Templates,7,1,1,32.0
153,CSS,7,1,1,32.0
154,GitHub Projects,7,2,3,32.0
155,GraphQL Queries,7,1,1,32.0
156,Version Control Systems,7,1,1,32.0
157,Market Analysis,7,1,1,32.0
158,Product Roadmap,7,1,1,32.0
159,Analytics Tools,9,1,7,32.0
160,Security Testing,7,1,1,32.0
161,Modules,7,1,2,31.0
162,API Keys & Management,8,1,5,31.0
163,Inferential Statistics,9,1,8,31.0
164,BI Platforms,7,1,2,31.0
165,Soft Skills,7,1,2,31.0
166,Networking & Protocols,7,1,2,31.0
167,Services and Networking,7,1,2,31.0
168,Introduction,6,1,0,30.0
169,Network,6,1,0,30.0
170,Introduction,6,1,0,30.0
171,Scaling Databases,9,2,11,30.0
172,Balanced Search Trees,6,1,0,30.0
173,Introduction to Language,6,1,0,30.0
174,Documentation,7,1,3,30.0
175,JavaScript,6,2,2,30.0
176,PostgreSQL,9,1,9,30.0
177,Accessibility,8,1,6,30.0
178,Editing Files,6,1,0,30.0
179,Cryptography,8,1,6,30.0
180,Working with Data,7,1,3,30.0
181,Best Practices,7,1,3,30.0
182,Inspect / Modify State,10,1,12,30.0
183,DynamoDB,6,1,1,29.0
184,Data Cleanup,6,1,1,29.0
185,Storage,7,1,4,29.0
186,Authentication Strategies,9,1,10,29.0
187,Package Management,6,1,1,29.0
188,Testing,6,1,1,29.0
189,Interactions,7,1,4,29.0
190,Components,6,1,1,29.0
191,API Calls,6,1,1,29.0
192,Bitmaps,8,1,7,29.0
193,Forms Handling,6,1,1,29.0
194,Images,8,1,8,28.0
195,Idioms,6,1,2,28.0
196,Support,5,4,5,28.0
197,Mutations,6,1,2,28.0
198,Cloud Computing,6,1,2,28.0
199,User Research,6,1,2,28.0
200,Communication Tools,8,1,8,28.0
201,Backlog Management,6,1,2,28.0
202,Email Testing,6,1,2,28.0
203,Pick a Language,5,1,0,27.0
204,Templates,6,1,3,27.0
205,API Documentation Tools,7,1,6,27.0
206,Real-Time Communication,5,1,0,27.0
207,Repo hosting services,5,1,0,27.0
208,Correlation Analysis,8,1,9,27.0
209,Programming Languages,6,1,3,27.0
210,Data Quality,6,1,3,27.0
211,Docker,6,1,3,27.0
212,Container Orchestration,5,1,0,27.0
213,VCS Hosting,5,1,0,27.0
214,UIKit,6,1,3,27.0
215,All about Variables,5,1,0,27.0
216,Working with APIs,5,1,0,27.0
217,Configuration Management,6,1,3,27.0
218,Introduction,5,1,0,27.0
219,Learn the Fundamentals,5,1,0,27.0
220,UDP,5,1,0,27.0
221,Embedded Server,5,1,0,27.0
222,Indexes,5,1,0,27.0
223,Pre-trained Models,5,1,1,26.0
224,Asynchronism,5,1,1,26.0
225,EC2,5,1,1,26.0
226,System Design,5,1,1,26.0
227,Setting up your Environment,5,1,1,26.0
228,Data Warehousing Architectures,4,2,0,26.0
229,Sample Projects,6,1,4,26.0
230,RESTful APIs,8,1,10,26.0
231,Code Quality Tools,7,1,7,26.0
232,Web Frameworks,4,2,0,26.0
233,Shell and Other Basics,5,1,1,26.0
234,Object Oriented Programming,4,2,0,26.0
235,CLI Utilities,7,1,7,26.0
236,APIs & Integrations,6,1,4,26.0
237,Content Research,6,1,4,26.0
238,Modules,9,1,13,26.0
239,Cloudfront,5,1,2,25.0
240,Descriptive Analysis,5,1,2,25.0
241,Advanced Dart,6,1,5,25.0
242,Web Security Basics,8,1,11,25.0
243,Disks and Filesystems,5,1,2,25.0
244,Logging,5,1,2,25.0
245,Installation and Setup,5,1,2,25.0
246,DeepLinking,6,1,5,25.0
247,Rendering,5,1,2,25.0
248,Testing,5,1,2,25.0
249,HyperLogLog,7,1,8,25.0
250,Event Handling,5,1,2,25.0
251,Developer Tools,4,1,0,24.0
252,Learn the Basics of C#,4,1,0,24.0
253,Calls,7,1,9,24.0
254,Common UML Diagrams,4,1,0,24.0
255,Standards,5,1,3,24.0
256,Monitoring,4,1,0,24.0
257,Building a Community,4,1,0,24.0
258,Learn the Basics,4,1,0,24.0
259,Learn the Basics,4,1,0,24.0
260,Subscriptions,5,1,3,24.0
261,Types of Machine Learning,4,1,0,24.0
262,Applications of CNNs,4,1,0,24.0
263,Containerization,5,1,3,24.0
264,Performance Optimization,5,1,3,24.0
265,UX / UI Design,5,1,3,24.0
266,Positioning,5,1,3,24.0
267,Identifying Risks,7,1,9,24.0
268,Reporting,5,1,3,24.0
269,Important Skills to Learn,4,1,0,24.0
270,Load Balancers,4,1,0,24.0
271,Consistency Patterns,4,1,0,24.0
272,Decorators,4,1,0,24.0
273,Type Compatibility,4,1,0,24.0
274,Human Decision Making,4,1,0,24.0
275,The Fundamentals,4,1,1,23.0
276,Directives,5,1,4,23.0
277,API Security,6,1,7,23.0
278,Object Mapping,4,1,1,23.0
279,Relational Databases,4,1,1,23.0
280,Data Lineage,5,1,4,23.0
281,Regression Analysis,7,1,10,23.0
282,Finance,5,1,4,23.0
283,GitHub,5,1,4,23.0
284,Containers,4,1,1,23.0
285,Application Monitoring,4,1,1,23.0
286,Basic Programming Skills,3,2,0,23.0
287,Game Physics,3,3,2,23.0
288,History,5,1,4,23.0
289,SwiftUI,5,1,4,23.0
290,Data Types,4,1,1,23.0
291,Classes,4,1,1,23.0
292,Resource Management,5,1,4,23.0
293,Linear Algebra,4,1,1,23.0
294,SDLC Delivery Model,4,1,1,23.0
295,Manual Testing,3,3,2,23.0
296,TCP vs UDP,4,1,1,23.0
297,Architectural Styles,3,2,0,23.0
298,Hibernate,4,1,1,23.0
299,Transactions,4,1,1,23.0
300,OpenAI API,4,1,2,22.0
301,Common Services,4,1,2,22.0
302,VPC,4,1,2,22.0
303,Databases,4,1,2,22.0
304,Basic Operations,4,1,2,22.0
305,JWT Auth,7,1,11,22.0
306,Debugging Techniques,6,1,8,22.0
307,Working with Files,4,1,2,22.0
308,Game Development,6,1,8,22.0
309,"Web, Mobile",5,1,5,22.0
310,Types of Technical Content,5,1,5,22.0
311,Provisioners,8,1,14,22.0
312,Behavior Change Strategies,3,2,1,22.0
313,ElastiCache,4,1,3,21.0
314,Design and Development Principles,7,1,12,21.0
315,Calculated Fields & Measures,3,1,0,21.0
316,Basic Blockchain Knowledge,3,1,0,21.0
317,String Search & Manipulations,3,1,0,21.0
318,Pick a Language,3,1,0,21.0
319,Structuring Codebase,3,1,0,21.0
320,Data Visualisation,4,1,3,21.0
321,Relational Databases,3,1,0,21.0
322,Understand he Basics,3,1,0,21.0
323,Learn a Programming Language,3,1,0,21.0
324,Development Environment,3,1,0,21.0
325,State Management,5,1,6,21.0
326,Git,4,1,3,21.0
327,GitHub,4,1,3,21.0
328,Web Components,7,1,12,21.0
329,Reactive Programming,3,1,0,21.0
330,Booting Linux,4,1,3,21.0
331,Introduction to Node.js,3,1,0,21.0
332,Keep app Running,4,1,3,21.0
333,Arrays,3,1,0,21.0
334,Learn SQL,4,1,3,21.0
335,Security,5,1,6,21.0
336,Learn the Pre-requisites,3,1,0,21.0
337,Hooks,4,1,3,21.0
338,Frameworks,4,1,3,21.0
339,Backup and Recovery,3,1,0,21.0
340,Streams,6,1,9,21.0
341,Introduction,3,1,0,21.0
342,Cloud,5,1,6,21.0
343,Aggregate Queries,3,1,0,21.0
344,Components,3,1,0,21.0
345,Computed Properties,4,1,3,21.0
346,SSR,3,1,1,20.0
347,General Development Skills,3,1,1,20.0
348,Tunnels,6,1,10,20.0
349,Design Patterns,3,1,1,20.0
350,Debuggers,4,1,4,20.0
351,Introduction,2,2,0,20.0
352,Testing,3,1,1,20.0
353,Reverse ETL,2,2,0,20.0
354,Community Management,3,1,1,20.0
355,Basic Git Usage,3,1,1,20.0
356,What is a Repository,3,1,1,20.0
357,Schema,4,1,4,20.0
358,Recurrent Neural Networks,3,1,1,20.0
359,Scikit-learn,3,1,1,20.0
360,Machine Learning Fundamentals,4,1,4,20.0
361,Aggregation,4,1,4,20.0
362,Risk Assessment,6,1,10,20.0
363,Vision & Mission,4,1,4,20.0
364,Service Design,4,1,4,20.0
365,Monitoring & Logs,4,1,4,20.0
366,Technical Skills,3,1,1,20.0
367,Cloud Design Patterns,2,2,0,20.0
368,Application Layer,3,1,1,20.0
369,Availability Patterns,3,1,1,20.0
370,Utility Types,3,1,1,20.0
371,Combining Types,3,1,1,20.0
372,Version Control,3,1,2,19.0
373,Routing,4,1,5,19.0
374,API Performance,5,1,8,19.0
375,Task Scheduling,3,1,2,19.0
376,Learn about APIs,3,1,2,19.0
377,Hypothesis Testing,6,1,11,19.0
378,Retail & E-commerce,4,1,5,19.0
379,Ethical Data Use,4,1,5,19.0
380,NoSQL Databsases,2,2,1,19.0
381,AWS,4,1,5,19.0
382,What is and how to setup X ?,3,1,2,19.0
383,Artifact Management,3,1,2,19.0
384,Widgets,2,2,1,19.0
385,Undoing Changes,4,1,5,19.0
386,UI Design,4,1,5,19.0
387,Iterators and Generators,3,1,2,19.0
388,Type Casting,3,1,2,19.0
389,Security,4,1,5,19.0
390,Calculus,3,1,2,19.0
391,IP,3,1,2,19.0
392,Spring Data,3,1,2,19.0
393,Data Integrity & Security,3,1,2,19.0
394,AI Safety and Ethics,3,1,3,18.0
395,Prompt Hacking,2,1,0,18.0
396,Linting,3,1,3,18.0
397,Signals,2,1,0,18.0
398,IAM,3,1,3,18.0
399,Popular Databases,2,1,0,18.0
400,Networking,3,1,3,18.0
401,Control Flow & Statements,3,1,3,18.0
402,Big Data Tools,2,1,0,18.0
403,Basic Data Structures,2,1,0,18.0
404,Secret Management,2,1,0,18.0
405,Event Management,2,2,2,18.0
406,CI / CD,2,1,0,18.0
407,Redis,6,1,12,18.0
408,Game AI,2,1,0,18.0
409,App Store Distribution,5,1,9,18.0
410,Learn the Basics,2,1,0,18.0
411,Logging Frameworks,2,2,2,18.0
412,Text Processing,3,1,3,18.0
413,Neural Network (NN) Basics,2,1,0,18.0
414,Why is it important?,2,1,0,18.0
415,Data Engineering Fundamentals,3,2,5,18.0
416,Schema Design Patterns / Anti-patterns,2,1,0,18.0
417,Regular Expressions,2,1,0,18.0
418,Learn the Basics,2,1,0,18.0
419,Testing,2,1,0,18.0
420,GUI Development,5,1,9,18.0
421,Frameworks,4,1,6,18.0
422,Clean Code Principles,2,1,0,18.0
423,Introduction,2,1,0,18.0
424,Learn the Basics,2,1,0,18.0
425,Content Optimization,2,1,0,18.0
426,Technical Content Marketing,4,1,6,18.0
427,Data Sources,7,1,15,18.0
428,Introduction to TypeScript,2,1,0,18.0
429,Prototyping,2,1,0,18.0
430,State Management,2,1,0,18.0
431,ECR,3,1,4,17.0
432,Containerization vs Virtualization,6,1,13,17.0
433,ETL basics,2,1,1,17.0
434,General Blockchain Knowledge,2,1,1,17.0
435,Floating Point Math,2,1,1,17.0
436,Data Structures,2,1,1,17.0
437,Structures and Classes,2,1,1,17.0
438,Statistical Analysis,3,1,4,17.0
439,Cloud Computing,2,1,1,17.0
440,Terminology,2,1,1,17.0
441,Operating System,2,1,1,17.0
442,Reactive Programming,4,1,7,17.0
443,npm,3,1,4,17.0
444,Type Checkers,6,1,13,17.0
445,Delegate Pattern,2,1,1,17.0
446,Database Access,2,1,1,17.0
447,Networking,3,1,4,17.0
448,Essential libraries,2,1,1,17.0
449,Threads,3,1,4,17.0
450,Modules,2,1,1,17.0
451,Conditionals,2,1,1,17.0
452,Configuring,3,1,4,17.0
453,Environment Setup,2,1,1,17.0
454,Storage,4,1,7,17.0
455,Forms,3,1,4,17.0
456,Routers,3,1,4,17.0
457,Upgrading Redis,2,1,1,17.0
458,Geospatial Indexes,5,1,10,17.0
459,Language Basics,2,1,1,17.0
460,Data Clustering,4,1,7,17.0
461,Data Constraints,2,1,1,17.0
462,Templates,2,1,1,17.0
463,Routing,3,1,4,17.0
464,SSG,2,1,2,16.0
465,Database Fundamentals,2,1,2,16.0
466,Email Workers,5,1,11,16.0
467,Basic Math Skills,2,1,2,16.0
468,Compilers,3,1,5,16.0
469,Messaging Systems,2,1,2,16.0
470,Collaboration,2,1,2,16.0
471,Branching Basics,2,1,2,16.0
472,Validation,3,1,5,16.0
473,Attention Mechanisms,2,1,2,16.0
474,What is Supervised Learning?,2,1,2,16.0
475,Transactions,3,1,5,16.0
476,Risk Mitigation,5,1,11,16.0
477,Interaction Design,3,1,5,16.0
478,Defining Goals,3,1,5,16.0
479,Version Control System,3,1,5,16.0
480,Programming Languages,2,1,2,16.0
481,Databases,2,1,2,16.0
482,Background Jobs,2,1,2,16.0
483,Advanced Types,2,1,2,16.0
484,Type Guards / Narrowing,2,1,2,16.0
485,REST API Knowledge,1,1,0,15.0
486,Vector Databases,1,1,0,15.0
487,App Components,2,1,3,15.0
488,Services  & Remote Data,3,1,6,15.0
489,Testing,1,1,0,15.0
490,API Integration Patterns,4,1,9,15.0
491,Dependency Injection,1,1,0,15.0
492,Databases,1,1,0,15.0
493,Testing,2,1,3,15.0
494,Pick a Language,1,1,0,15.0
495,Caching,2,1,3,15.0
496,Bias Recognition,3,1,6,15.0
497,Introduction,1,1,0,15.0
498,Healthcare,3,1,6,15.0
499,What is Data?,5,1,12,15.0
500,Data Transformation Techniques,1,1,0,15.0
501,Version Control Systems,1,1,0,15.0
502,dApps - Decentralized Applications,1,1,0,15.0
503,Cloud Skills and Knowledge,1,1,0,15.0
504,Programming Fundamentals,1,1,0,15.0
505,Complex Data Structures,1,1,0,15.0
506,Tree Data Structures,1,1,0,15.0
507,Creating Design Language,1,1,0,15.0
508,Terraform,3,1,6,15.0
509,GitOps,2,1,3,15.0
510,Provisioning,1,1,0,15.0
511,Networking & Protocols,2,1,3,15.0
512,Internet,1,1,0,15.0
513,Viewing Diffs,3,1,6,15.0
514,GitHub API,1,1,0,15.0
515,GitHub CLI,1,1,0,15.0
516,UIKit,3,1,6,15.0
517,Dependency Injection,1,1,0,15.0
518,Control Flow,1,1,0,15.0
519,Data Structures,2,1,3,15.0
520,Using (this) keyword,1,1,0,15.0
521,Modules in JavaScript,2,1,3,15.0
522,Monitoring and Logging,3,1,6,15.0
523,Clustering,1,1,0,15.0
524,What is Reinforcement Learning?,1,1,0,15.0
525,Natural Language Processing,1,1,0,15.0
526,Discrete Mathematics,2,1,3,15.0
527,Working with Files,1,1,0,15.0
528,Style Tools,1,1,0,15.0
529,File Uploads,1,1,0,15.0
530,Introduction to PHP,1,1,0,15.0
531,Learn a Framework,1,1,0,15.0
532,Portals,1,1,0,15.0
533,Clustering,1,1,0,15.0
534,Redis Modules,1,1,0,15.0
535,Programming Languages,2,1,3,15.0
536,Understand the Basics,1,1,0,15.0
537,Design Principles,1,1,0,15.0
538,Microservices,2,1,3,15.0
539,Stored Procedures & Functions,2,1,3,15.0
540,Idempotent Operations,1,1,0,15.0
541,Performance Antipatterns,1,1,0,15.0
542,OpenSource AI,2,1,4,14.0
543,Model Vulnerabilities,1,1,1,14.0
544,Testing,2,1,4,14.0
545,State Management,1,1,1,14.0
546,Auto-Scaling,2,1,4,14.0
547,Data Cleaning,1,1,1,14.0
548,Security,2,1,4,14.0
549,Functions,2,1,4,14.0
550,Programming Skills,1,1,1,14.0
551,Containers & Orchestration,1,1,1,14.0
552,Algorithmic Complexity,1,1,1,14.0
553,Infrastructure Monitoring,1,1,1,14.0
554,APIs & SDKs,1,1,1,14.0
555,Analytics,1,1,1,14.0
556,CSS,1,1,1,14.0
557,Linux Basics,5,1,13,14.0
558,Game AI,1,1,1,14.0
559,TestFlight,4,1,10,14.0
560,Exception Handling,1,1,1,14.0
561,Server Review,2,1,4,14.0
562,Metrics to Evaluate,1,1,1,14.0
563,Deep Learning Libraries,1,1,1,14.0
564,Indexes and their Usecases,1,1,1,14.0
565,Object Oriented Programming,1,1,1,14.0
566,Data Structures & Algorithms,1,1,1,14.0
567,Embedded and Systems,4,1,10,14.0
568,Concurrency & Parallelism,1,1,1,14.0
569,Management,3,1,7,14.0
570,Programming Paradigms,1,1,1,14.0
571,Architectural Patterns,1,1,1,14.0
572,Spring Security,1,1,1,14.0
573,Basic SQL Syntax,1,1,1,14.0
574,Content SEO,3,1,7,14.0
575,Content Analysis,1,1,1,14.0
576,Template Files,6,1,16,14.0
577,TypeScript Types,1,1,1,14.0
578,UX Best Practices,1,1,1,14.0
579,API Calls,1,1,1,14.0
580,ECS,2,1,5,13.0
581,Message Brokers,5,1,14,13.0
582,Building Your Portfolio,1,1,2,13.0
583,Oracles,1,1,2,13.0
584,Asymptotic Notation,1,1,2,13.0
585,Endianess,1,1,2,13.0
586,Exception Handling,1,1,2,13.0
587,Machine Learning,2,1,5,13.0
588,Types of Data Ingestion,1,1,2,13.0
589,Making a Design System,1,1,2,13.0
590,Terminal Knowledge,1,1,2,13.0
591,Animations,3,1,8,13.0
592,React,2,1,5,13.0
593,SSR,5,1,14,13.0
594,Callbacks,1,1,2,13.0
595,Shell Programming,2,1,5,13.0
596,Data Sources,1,1,2,13.0
597,Streams,2,1,5,13.0
598,npm,1,1,2,13.0
599,Loops,1,1,2,13.0
600,Security,2,1,5,13.0
601,Object Model,1,1,2,13.0
602,Testing,3,1,8,13.0
603,Development Workflow,1,1,2,13.0
604,State Management,2,1,5,13.0
605,Types & Validation,2,1,5,13.0
606,Pub/Sub,4,1,11,13.0
607,Disaster Recovery,1,1,2,13.0
608,Error Handling,1,1,2,13.0
609,Containerization,3,1,8,13.0
610,JOIN Queries,1,1,2,13.0
611,Understanding the Product,1,1,2,13.0
612,Directives,1,1,2,13.0
613,Forms,2,1,5,13.0
614,Security,1,1,3,12.0
615,ASP.NET Core Basics,1,1,3,12.0
616,AI Gateway,4,1,12,12.0
617,Complexity Classes,1,1,3,12.0
618,Build Systems,2,1,6,12.0
619,Infrastructure as Code - IaC,1,1,3,12.0
620,More Git,1,1,3,12.0
621,GitHub Essentials,1,1,3,12.0
622,Execution,2,1,6,12.0
623,FastLane,3,2,11,12.0
624,Classification,1,1,3,12.0
625,Autoencoders,1,1,3,12.0
626,Developer Tools,2,1,6,12.0
627,Value Proposition,2,1,6,12.0
628,User Testing,2,1,6,12.0
629,Monitoring and Controlling Risks,4,1,12,12.0
630,Repo Hosting Services,2,1,6,12.0
631,Patterns & Design Principles,1,1,3,12.0
632,Caching,1,1,3,12.0
633,Domain Name System,1,1,3,12.0
634,TypeScript Functions,1,1,3,12.0
635,TypeScript Modules,1,1,3,12.0
636,Interface & Navigation,1,1,4,11.0
637,Forms,2,1,7,11.0
638,API Testing,3,1,10,11.0
639,Microservices,1,1,4,11.0
640,More about Databases,1,1,4,11.0
641,Privacy,2,1,7,11.0
642,Analog vs Digital Data,4,1,13,11.0
643,Manufacturing,2,1,7,11.0
644,Ansible,2,1,7,11.0
645,Cloud Providers,1,1,4,11.0
646,Service Mesh,1,1,4,11.0
647,Rewriting History,2,1,7,11.0
648,SwiftUI,2,1,7,11.0
649,Equality Comparisons,1,1,4,11.0
650,Memory Management,1,1,4,11.0
651,Autoscaling,2,1,7,11.0
652,Statistics,1,1,4,11.0
653,Socket Programming,1,1,4,11.0
654,AI,2,2,9,11.0
655,Spring MVC,1,1,4,11.0
656,Performance Optimization,1,1,4,11.0
657,Model Context Protocol (MCP),0,0,0,10.0
658,Creating MCP Servers,0,0,0,10.0
659,ReAct (Reason + Act),0,0,0,10.0
660,Fine-tuning vs Prompt Engineering,0,0,0,10.0
661,Safety + Red Team Testing,0,0,0,10.0
662,Planner Executor,0,0,0,10.0
663,Pricing of Common Models,0,0,0,10.0
664,Open Weight Models,0,0,0,10.0
665,Episodic vs Semantic Memory,0,0,0,10.0
666,Agent Loop,0,0,0,10.0
667,DAG Agents,0,0,0,10.0
668,Bias & Toxicity Guardrails,0,0,0,10.0
669,Short Term  Memory,0,0,0,10.0
670,Git and Terminal Usage,0,0,0,10.0
671,Reasoning vs Standard Models,0,0,0,10.0
672,Tree-of-Thought,0,0,0,10.0
673,Prompt Injection / Jailbreaks,0,0,0,10.0
674,What is Agent Memory?,0,0,0,10.0
675,Embeddings and Vector Search,0,0,0,10.0
676,Manual (from scratch),0,0,0,10.0
677,Tool sandboxing / Permissioning,0,0,0,10.0
678,Long Term Memory,0,0,0,10.0
679,Basic Backend Development,0,0,0,10.0
680,What is Prompt Engineering,0,0,0,10.0
681,"LLM Native ""Function Calling""",0,0,0,10.0
682,RAG Agent,0,0,0,10.0
683,Streamed vs Unstreamed Responses,0,0,0,10.0
684,Tool Definition,0,0,0,10.0
685,Understand the Basics of RAG,0,0,0,10.0
686,Chain of Thought (CoT),0,0,0,10.0
687,Data Privacy + PII Redaction,0,0,0,10.0
688,Closed Weight Models,0,0,0,10.0
689,Statistics,0,0,0,10.0
690,Econometrics,0,0,0,10.0
691,MLOps,0,0,0,10.0
692,Coding,0,0,0,10.0
693,Mathematics,0,0,0,10.0
694,Deep Learning,0,0,0,10.0
695,Machine Learning,0,0,0,10.0
696,Exploratory Data Analysis,0,0,0,10.0
697,What are Embeddings,1,1,5,10.0
698,AI Agents,0,0,0,10.0
699,Development Tools,0,0,0,10.0
700,Multimodal AI,0,0,0,10.0
701,Open-Source Embeddings,0,0,0,10.0
702,Open AI Assistant API,0,0,0,10.0
703,Ollama,0,0,0,10.0
704,Hugging Face,0,0,0,10.0
705,Introduction,0,0,0,10.0
706,Infrastructure Security,0,0,0,10.0
707,Storage,0,0,0,10.0
708,Debugging,1,1,5,10.0
709,Communication,0,0,0,10.0
710,Performance,0,0,0,10.0
711,Template Syntax,0,0,0,10.0
712,Understand Binding,0,0,0,10.0
713,Pipes,0,0,0,10.0
714,Animation,0,0,0,10.0
715,Frameworks,0,0,0,10.0
716,Search Engines,0,0,0,10.0
717,Caching,0,0,0,10.0
718,GraphQL,0,0,0,10.0
719,Template Engines,0,0,0,10.0
720,Relational,0,0,0,10.0
721,API Clients and Communication,0,0,0,10.0
722,REST,0,0,0,10.0
723,Cloud,0,0,0,10.0
724,NoSQL,0,0,0,10.0
725,DI Containers,0,0,0,10.0
726,Storage Types,0,0,0,10.0
727,S3,1,1,5,10.0
728,Cloudwatch,0,0,0,10.0
729,Route53,0,0,0,10.0
